question,optionA,optionB,optionC,optionD,language,category,language2
"John wants to build highly available infrastructure. He needs to make sure that even if one data-center goes down, it should not affect his application. Which component in AWS cloud can he use to achieve the use-case ?",(A) Availability Zones,(B) Region,"(C) Store his application to Lambda, it's highly available.",(D) S3,eng,CLF,eng
What is the AWS customer responsible for according to the AWS shared responsibility model?,(A) Physical access controls,(B) Data encryption,(C) Secure disposal of storage devices,(D) Environmental risk management,eng,CLF,eng
Which of the following Reserved Instance (RI) pricing models provides the highest average savings compared to On-Demand pricing?,"(A) One-year, No Upfront, Standard RI pricing","(B) One-year, All Upfront, Convertible RI pricing","(C) Three-year, All Upfront, Standard RI pricing","(D) Three-year, No Upfront, Convertible RI pricing",eng,CLF,eng
"Which service stores objects, provides real-time access to those objects, and offers versioning and lifecycle capabilities?",(A) Amazon Glacier,(B) AWS Storage Gateway,(C) Amazon S3,(D) Amazon EBS,eng,CLF,eng
"Your CTO has asked you to contact the AWS support over chat feature and ask them about guidance related to EBS. However when you open the AWS support center, you don't see way to contact support via Chat feature. What is missing here ?",(A) Chat feature is only available in Enterprise level plan,(B) There is a need to upgrade from BASIC support plan to Developer support plan.,(C) Upgrade to at-least Business support plan.,(D) Chat feature is not available in AWS support.,eng,CLF,eng
"In an AWS Shared Responsibility model, which of the following is not the responsibility of AWS ?",(A) Network Adapter of the servers,(B) Data of the customer,(C) Hypervisor,(D) Physical Security of the servers,eng,CLF,eng
What is the main benefit on why some one might choose an on-Demand EC2 instance?,(A) They require 1-2 days for setup and configuration.,"(B) You can create, start, stop, and terminate them at any time.",(C) They are the cheapest buying option.,(D) They are the expensive buying option.,eng,CLF,eng
Which of the following inspects AWS environments to find opportunities that can save money for users and also improve system performance?,(A) AWS Cost Explorer,(B) AWS Trusted Advisor,(C) Consolidated billing,(D) Detailed billing,eng,CLF,eng
What is the maximum amount of data that can be stored in S3 ?,(A) 5 TB per day is the limit.,(B) Every account has 50TB per day limit which can be increased.,(C) Virtual unlimited.,(D) 100 GB per day.,eng,CLF,eng
What is the availability and durability of S3 Standard Storage Class?,(A) 99.999999999% Durability and 99.99% Availability,(B) 99.999999999% Availability and 99.99% Durability,(C) 99.999999999% Availability and 99.90% Durability,(D) 99.999999999% Durability and 99.00% Availability,eng,CLF,eng
Which storage service can be used as a low-cost option for hosting static websites?,(A) Amazon Glacier,(B) Amazon DynamoDB,(C) Amazon Elastic File System (Amazon EFS),(D) Amazon Simple Storage Service (Amazon S3),eng,CLF,eng
What costs are included when comparing AWS Total Cost of Ownership (TCO) with onpremises TCO?,(A) Project management,(B) Antivirus software licensing,(C) Data center security,(D) Software development,eng,CLF,eng
"If you are using an on-demand EC2 instance, how are you being charged for it?",(A) You must commit to a one or three year term and pay upfront.,"(B) You are charged per second, based on an hourly rate, and there are no termination fees.","(C) You are charged per second, based on an hourly rate, and there is a termination fee.",(D) You are charged by the hour and must pay a partial upfront fee.,eng,CLF,eng
Alice is a DevOps and he wants to ensure that all servers are working perfectly. One of the aspects is monitor the CPU usage. Application tends to slow down when CPU usage is greater then 60%. How can Alice track down when CPU usage goes above 60% for any of the EC2 instance ?,(A) Install the monitoring agent in each server which will send alarm in-case CPU goes more then 60%,(B) Monitor the server utilization via CloudTrail,(C) Use CloudWatch Alarms,(D) Use CloudFront for caching so CPU never goes above 60%,eng,CLF,eng
"If you want in-depth details on how to create and configure CloudTrail, in what AWS resource should you look?",(A) AWS Forums,(B) AWS Whitepaper,(C) AWS Documentations,(D) AWS Support,eng,CLF,eng
Which of the following can limit Amazon Storage Service (Amazon S3) bucket access to specific users?,(A) A public and private key-pair,(B) Amazon Inspector,(C) AWS Identity and Access Management (IAM) policies,(D) Security Groups,eng,CLF,eng
CISO of your organization wants to see what exactly each user is doing in AWS account. What is the service that you can use to achieve this scenerio ?,(A) CloudWatch,(B) CloudTrail,(C) VPC,(D) SNS,eng,CLF,eng
What is one of the benefits of running Lambda ?,(A) Run code without provisioning servers.,(B) Actively select and manage instance type and capacity.,(C) Wide variety of operating systems to select from.,(D) No need to worry about security vulnerabilities.,eng,CLF,eng
Which of the following components of the AWS Global Infrastructure consists of one or more discrete data centers interconnected through low latency links?,(A) Availability Zone,(B) Edge location,(C) Region,(D) Private networking,eng,CLF,eng
A characteristic of edge locations is that they:,(A) host Amazon EC2 instances closer to users.,(B) help lower latency and improve performance for users.,(C) cache frequently changing data without reaching the origin server.,(D) refresh data changes daily.,eng,CLF,eng
Which of the following Identity and Access Management (IAM) entities is associated with an access key ID and secret access key when using AWS Command Line Interface (AWS CLI)?,(A) IAM group,(B) IAM user,(C) IAM role,(D) IAM policy,eng,CLF,eng
Which service should a customer use to consolidate and centrally manage multiple AWS accounts?,(A) AWS IAM,(B) AWS Organizations,(C) AWS Schema Conversion Tool,(D) AWS Config,eng,CLF,eng
"CTO in your organization wants to quickly view various shortcomings related to security, costing and performance related aspects in AWS. Which AWS service can help you here ?",(A) CloudWatch,(B) CloudTrail,(C) Trusted Advisor,(D) Security Groups,eng,CLF,eng
You are building online cloud storage platform. Users will be uploading their files for backup to your applications. You are unsure about the capacity requirements. Which AWS service can help you here ?,(A) Elastic Block Store,(B) S3,(C) CloudWatch,(D) Store all content in CloudFront cache.,eng,CLF,eng
"What is the lowest-cost, durable storage option for retaining database backups for immediate retrieval?",(A) Amazon S3,(B) Amazon Glacier,(C) Amazon EBS,(D) Amazon EC2 Instance Store,eng,CLF,eng
What AWS team assists customers with accelerating cloud adoption through paid engagements in any of several specialty practice areas?,(A) AWS Enterprise Support,(B) AWS Solutions Architects,(C) AWS Professional Services,(D) AWS Account Managers,eng,CLF,eng
For which auditing process does AWS have sole responsibility?,(A) AWS IAM policies,(B) Physical security,(C) Amazon S3 bucket policies,(D) AWS CloudTrail Logs,eng,CLF,eng
What is benefit of choosing reserved instance over on-demand instance ?,(A) Provides additional free resource capacity compared to on-demand.,(B) One can save money by placing a lower 'bid' price.,(C) Lower cost when compared to on-demand.,(D) Not much benefit. On-demand is better.,eng,CLF,eng
Which among the below endpoints are supported by SNS?,(A) SMS,(B) FTP,(C) S3,(D) Phone Call,eng,CLF,eng
Which AWS service can help caching objects ?,(A) CloudTrail,(B) EC2,(C) CloudFront,(D) AWS Lambda,eng,CLF,eng
"Which of the following is a correct relationship between regions, Availability Zones, and edge locations?",(A) Data centers contain regions.,(B) Regions contain Availability Zones.,(C) Availability Zones contain edge locations.,(D) Edge locations contain regions.,eng,CLF,eng
John is a AWS solutions architect at Medium corp and one person has recently joined his team. He needs to gives access to the new joinee so that he can manage the AWS infrastructure along with John. How will john give him access ?,(A) Share the ROOT account credentials.,(B) Create a new IAM user for the new joinee and share the IAM user's credentials.,(C) Share the access & secret keys.,(D) John can share his credentials and both can use same set of user and password.,eng,CLF,eng
What is AWS's serverless compute service?,(A) EC2,(B) Lambda,(C) S3,(D) RDS,eng,CLF,eng
What is the benefit of using RDS instead of hosting own database in EC2 instance ? Which of the following are benefits of AWS's Relational Database Service (RDS)?,(A) RDS is more cost effective.,(B) Automated patches and backups,(C) AWS manages your database for you.,(D) RDS is more faster compared to EC2,eng,CLF,eng
What is the AWS service will you use if you want to get alert when you cross a certain bill threshold ?,(A) Trusted Advisor,(B) Cloudwatch,(C) AWS Organizations,(D) AWS Budget,eng,CLF,eng
Which statement best describes Elastic Load Balancing?,(A) It translates a domain name into an IP address using DNS.,(B) It distributes incoming application traffic across one or more Amazon EC2 instances.,(C) It collects metrics on connected Amazon EC2 instances.,(D) It automatically adjusts the number of Amazon EC2 instances to support incoming traffic.,eng,CLF,eng
"According to best practices, how should an application be designed to run in the AWS Cloud?",(A) Use tighly coupled components.,(B) Use loosely coupled components.,(C) Use infrequently coupled components.,(D) Use frequently coupled components.,eng,CLF,eng
Which of the following security-related actions are available at no cost?,(A) Calling AWS Support,(B) Contacting AWS Professional Services to request a workshop,"(C) Accessing forums, blogs, and whitepapers",(D) Attending AWS classes at a local university,eng,CLF,eng
