question,optionA,optionB,optionC,optionD,language,category,language2
"一家遊戲公司正在開發適用於iOS和Android平台的移動遊戲應用程序。 此手機遊戲可將用戶數據安全地本地存儲在設備上。 該公司希望允許用戶使用多個設備來玩遊戲,這需要跨設備的用戶數據同步。 應該使用哪種服務來跨設備同步用戶數據,而無需創建後端應用程序?",(A) AWS Lambda,(B) Amazon S3,(C) Amazon DynamoDB,(D) Amazon Cognito,cht,DVA,cht
"開發者想要使用伺服器加密方案,在S3桶子內儲存高安全性資料。並滿足公司對於金鑰的需求,能夠輕鬆創造、輪換、停用。基於上述的安全原因,下列哪個方案可以滿足這些需求?","(A) 伺服器加密,使用S3金鑰受管方案。","(B) 伺服器加密,使用KMS金鑰受管方案。","(C) 伺服器加密,使用AWS Secrets Manager。","(D) 伺服器加密,使用客戶端提供的加密金鑰。",cht,DVA,cht
"開發者透過SSH存取AWS CodeCommit。該SSH金鑰目前關聯的用戶尚需要能夠新增或刪除分枝的權限。在考量最小權限原則的情況下,應該加入下列哪一個IAM權限?",(A) 'codecommit:CreateBranch''codecommit:DeleteBranch,(B) 'codecommit:Put*,(C) 'codecommit:Update*,(D) 'codecommit:*,cht,DVA,cht
"開發人員被要求更改AWS Lambda函數的源代碼。 此Lambda函數使用AWS CloudFormation模板管理該功能。 而模板配置為從Amazon S3存儲桶加載源代碼。 開發人員手動創建了包含更改的.ZIP文件部署軟件包,並將文件放入Amazon S3上的正確位置。 調用該函數時,應用的更新並未被套用。 在更新函數時,哪一個步驟是必須的?","(A) 刪除在S3上的壓縮檔案,並使用不同的物件名重新上傳。","(B) 以功能代碼屬性S3Bucket,S3Key或S3ObjectVersion正確的內容值去更新CloudFormation stack的內容。","(C) 在將部署包上載到S3之前,先確保功能源代碼已進行base64編碼。","(D) 修改Lambda函數的執行角色,允許其對S3內的部署程序包.ZIP文件具有訪問權限。",cht,DVA,cht
"在將代碼部署到生產環境中之前,應用程序的發布流程工作流程需要人工批准。使用AWS CodePipeline實現此目的的最佳方法是什麼?",(A) 使用多個管道以允許批准,(B) 在階段中使用批准動作,(C) 停用階段轉換使我們能手動批准,(D) 在部署階段之前停用階段,cht,DVA,cht
"有一個靜態網站,其託管在Amazon S3存儲桶中。 該站點上的幾個HTML頁面使用JavaScript從另一個Amazon S3存儲桶下載圖像。 用戶瀏覽站點時,並未顯示這些圖像。 問題的可能原因是什麼?",(A) 引用的Amazon S3存儲桶在另一個區域中。,(B) 圖像必須存儲在同一Amazon S3存儲桶中。,(C) 必須在Amazon S3存儲桶所在的安全組上打開端口80。,(D) 必須在Amazon S3存儲桶上啟用跨源資源共享。,cht,DVA,cht
SQS的延遲佇列能達到什麼目標?,"(A) 首次將消息添加到隊列時,可以配置使它們隱藏起來一段時間。","(B) 當消息從佇列中提取消費後,消息會隱藏一段時間,此時間可透過設定配置。","(C) 消費者在輪詢隊列時,檢索消息之前可,先設置一段可配置的時間。","(D) 當消息從佇列中被消費後,可為消息配置一段不會被刪除的時間。",cht,DVA,cht
"有一個開發者被要求開發一個Lambda函數,當DynamoDB的指定表格內有資料新增時,會觸發該Lambda函數。現在該函數已經創建出來了,且也配置了足夠權限的Lambda執行角色。 關於該表格的DynamoDB Stream也已經啟動了,但該函數仍然未被觸發。下列哪個選項能讓DynamoDB表更新時,觸發Lambda函數?","(A) 為DynamoDB的表格,變更串流瀏覽型態的參數 為 NEW_AND_OLD_IMAGES",(B) 為Lambda函數調整事件來源的映射,(C) 為DynamoDB streams 匹配一個 Amazon SNS的主標題。,(D) 增加Lambda函數的最大執行時間(超時),cht,DVA,cht
"有一個應用會立即更新S3上的特定物件,並立刻讀取該特定物件。為什麼該應用有的時候會讀取該物件的舊版本?","(A) S3複寫物件的方式是採最終一致性,所以應用程式有可能會讀到就物件。","(B) 應用程式必須在上傳到S3的時候,額外為最後一個版本增加額外的元數組。","(C) 所有的物件上傳都是採最終一致性,所以應用程序有可能會讀到舊的物件。","(D) 當應用程式在取得物件的時候,必須特別指名最後的版本號。",cht,DVA,cht
"您擁有一個環境,該環境由使用Amazon VPC的公共子網和在此子網中運行的3個實例組成。 這三個實例可以成功與Internet上的其他主機通信。 您使用相同的AMI和安全組配置在同一子網中啟動第四個實例,但是發現無法從Internet訪問該實例。 您應該怎麼做才能啟用Internet訪問?",(A) 在公網段內部署一個NAT實例。,(B) 更改公網段的路由表。,"(C) 在第四台實例內的作業系統,設定公開路由表IP地址。",(D) 為第四台機器設置一個彈性IP。,cht,DVA,cht
