question,optionA,optionB,optionC,optionD,language,category,language2
"A Developer has been asked to create an AWS Lambda function that is triggered any time updates are made to items in an Amazon DynamoDB table. The function has been created, and appropriate permissions have been added to the Lambda execution role. Amazon DynamoDB streams have been enabled for the table, but the function is still not being triggered. Which option would enable DynamoDB table updates to trigger the Lambda function?",(A) Change the StreamViewType parameter value to NEW_AND_OLD_IMAGES for the DynamoDB table,(B) Configure event source mapping for the Lambda function,(C) Map an Amazon SNS topic to the DynamoDB streams,(D) increase the maximum execution time (timeout) setting of the Lambda function,eng,DVA,eng
"A company is building a stock trading application that requires sub-millisecond latency in processing trading requests. Amazon DynamoDB is used to store all the trading data that is used to process each request. After load testing the application, the development team found that due to data retrieval times, the latency requirement is not satisfied. Because of sudden high spikes in the number of requests, DynamoDB read capacity has to be significantly over-provisioned to avoid throttling. What steps should be taken to meet latency requirements and reduce the cost of running the application?",(A) Add Global Secondary Indexes for trading data.,(B) Store trading data in Amazon S3 and use Transfer Acceleration.,(C) Add retries with exponential back-off for DynamoDB queries,(D) Use DynamoDB Accelerator to cache trading data.,eng,DVA,eng
A developer has written an application that runs on Amazon EC2 instances and generates a value every minute. The Developer wants to monitor and graph the values generated over time without logging in to the instance each time. Which approach should the Developer use to achieve this goal?,(A) Use the Amazon CloudWatch metrics reported by default for all EC2 instances View each value from the CloudWatch console.,(B) Develop the application to store each value in a file on Amazon S3 every minute with the Timestamp as the name,(C) Publish each generated value as a custom metric to Amazon CloudWatch using available AWS SDKs,(D) Store each value as a variable and add the variable to the list of EC2 metrics that should be reported to the Amazon CloudWatch console,eng,DVA,eng
"An on-premises application makes repeated calls to store files to Amazon S3. As usage of the application has increased, 'LimitExceeded' errors are being logged. What should be changed to fix this error?",(A) Implement exponential backoffs in the application.,(B) Load balance the application to multiple servers.,(C) Move the application to Amazon EC2.,(D) Add a one second delay to each API call.,eng,DVA,eng
"An application overwrites an object in Amazon S3, and then immediately reads the same object. Why would the application sometimes retrieve the old version of the object?","(A) S3 overwrite PUTS are eventually consistent, so the application may read the old object.",(B) The application needs to add extra metadata to label the latest version when uploading to Amazon S3.,"(C) All S3 PUTS are eventually consistent, so the application may read the old object.",(D) The application needs to explicitly specify latest version when retrieving the object.,eng,DVA,eng
A development team is using AWS Elastic Beanstalk to deploy a two-tier application that consists of a load-balanced web tier and an Amazon RDS database tier in production. The team would like to separate the RDS instance from the Elastic Beanstalk. How can this be accomplished?,(A) Use the Elastic Beanstalk CLI to disassociate the database.,(B) Use the AWS CLI to disassociate the database.,(C) Change the deployment policy to disassociate the database.,(D) Recreate a new Elastic Beanstalk environment without Amazon RDS.,eng,DVA,eng
A company wants to containerize an existing three-tier web application and deploy it to Amazon ECS Fargate. The application is using session data to keep track of user activities. Which approach would provide the BEST user experience?,(A) Provision a Redis cluster in Amazon ElasticCache and save the session data in the cluster,(B) Create a session table in Amazon Redshift and save the session data in the database table.,(C) Enable session stickness in the existing Network Load Balancer and manage the session data in the container.,(D) Use an Amazon S3 bucket as data store and save the session data in the bucket.,eng,DVA,eng
"Developer is creating an AWS Lambda function to process a stream of data from an Amazon Kinesis Data Stream. When the Lambda function parses the data and encounters a missing field, it exits the function with an error. The function is generating duplicate records from the Kinesis stream. When the Developer looks at the stream output without the Lambda function, there are no duplicate records. What is the reason for the duplicates?",(A) The Lambda function did not advance the Kinesis stream pointer to the next record after the error.,"(B) The Lambda event source used asynchronous invocation, resulting in duplicate records.","(C) The Lambda function did not handle the error, and the Lambda service attempted to reprocess thedata.",(D) The Lambda function is not keeping up with the amount of data coming from the stream.,eng,DVA,eng
"A company needs a version control system for collaborative software development. Features of the system must include the following:
* Support for batches of changes across multiple files
* Parallel branching
* Version tracking 
Which AWS service will meet these requirements?",(A) AWS CodePipeline,(B) Amazon S3,(C) AWS Code Build,(D) AWS CodeCommit,eng,DVA,eng
A legacy service has an XML-based SOAP interface. The Developer wants to expose the functionality of the service to external clients with the Amazon API Gateway. Which technique will accomplish this?,(A) Create a RESTful API with the API Gateway; transform the incoming JSON into a valid XML message for the SOAP interface using mapping templates.,(B) Create a RESTful API with the API Gateway; pass the incoming JSON to the SOAP interface through an Application Load Balancer.,(C) Create a RESTful API with the API Gateway; pass the incoming XML to the SOAP interface through an Application Load Balancer.,(D) Create a RESTful API with the API Gateway; transform the incoming XML into a valid message for the SOAP interface using mapping templates.,eng,DVA,eng
