question,optionA,optionB,optionC,optionD,language,category,language2
"有一個在EC2執行個體上運行的應用程序,其用來處理存儲在Amazon S3上的敏感信息。該信息的讀取是通過Internet訪問S3。安全團隊擔心與Amazon S3的Internet連接存在安全風險。哪種解決方案可以解決安全問題?",(A) 通過網際網路閘道訪問數據。,(B) 通過VPN連接訪問數據。,(C) 通過NAT閘道訪問數據。,(D) 通過VPC終端節點訪問Amazon S3的數據。,cht,SAA,cht
"一個方案架構師正在為一個三層式架構的新電商應用做一個全天運行的架構設計。每分鐘的流量可以從100到10000次。視促銷、假日、平日等情況,使用率有所不同。這個架構必須能夠有效處理突如其來的高流量以及日常流量。該架構師應該如何在成本最佳化且能處理那些流量的情況下,設計出一個滿足目標的網頁層架構?",(A) 將所有靜態文件存儲在多可用區Amazon Aurora數據庫中,(B) 創建一個指向Amazon S3中靜態內容的CloudFront分佈。,(C) 使用Amazon Route 53將流量路由到正確的區域。,(D) 使用Amazon S3分段上傳來縮短上傳時間。,cht,SAA,cht
"Amazon DynamoDB客戶應遵循以下哪種技術方案,讓DynamoDB達到最大吞吐量?",(A) 使用盡可能少的分區鍵創建表格,(B) 統一要求使用具有大量不同值的分區鍵創建表格,(C) 統一要求使用具有少量不同值的分區鍵創建表格,(D) 僅使用排序鍵創建表格,cht,SAA,cht
"您的公司運行的應用程序每月生成數千個1-GB報告。這些報告中約有10%將在前30天內訪問一次,並且必須按需提供。 30天后,不再將報告作為常規業務流程的一部分進行訪問,但出於合規性原因,必須保留報告。哪種架構能夠以最低的成本滿足這些要求?","(A) 將報告上傳到Amazon S3 標準存儲類。 在儲存貯體上設置生命週期配置,在30天後將報告轉換到Amazon Glacier","(B) 將報告上傳到Amazon S3標準-不常訪問存儲類。 在儲存貯體上設置生命週期配置,在30天後將報告轉換到Amazon Glacier","(C) 將報告上傳到Amazon Glacier。 當請求報告時,將其複製到Amazon S3標準存儲類進行訪問。 查看複製的報告後,將其刪除","(D) 將報告上傳到Amazon S3標準-不常訪問存儲類。 當請求報告時,將其複製到Amazon S3標準存儲類進行訪問。 查看複製的報告後,將其刪除。",cht,SAA,cht
"您的公司在本地端有一個多層式的php網路應用,經常在公司的宣傳活動後,出現的大量流量而導致癱瘓,為了避免類似情況繼續出現,必須去尋找一個合適方案來改善架構,以因應那些不預期的流量。
該應用採取兩層式架構,透過ELB訪問到後面的Linux Apache Web Server,另外還有一個資料庫層,選用的是MySQL資料庫,下列哪個方案能夠在最短的時間內,提供完整功能來幫協助改善您的應用","(A) 從內部部署環境分流流量,設置CloudFront分佈並設定CloudFront緩存自訂來源的物件,自訂您的物件緩存方式,並選擇物件在緩存中的存活時間(TTL)。","(B) 遷移到AWS,使用VM Import / Export將本地網頁伺服器快速轉換為AMI,創建Auto Scaling組,該組使用匯入的AMI並根據傳入的流量擴展網頁層。創建RDS只讀副本,並在RDS執行個體和本地MySQL間設置複寫來遷移數據庫。","(C) 故障轉移環境:創建一個S3儲存貯體,並將其配置為託管網站,使用區域檔案匯入將DNS遷移到Route53,並利用Route53 DNS故障轉移將其故障轉移到S3託管的網站。","(D) 混合環境,在EC2中創建可用於啟動Web服務器的AMI,創建一個Auto Scaling組,該組使用AMI並根據傳入流量來擴展網頁層,利用彈性負載平衡來平衡本地網頁服務器和託管在AWS的服務之間的流量。",cht,SAA,cht
"您使用S3運行一個受廣告支持的照片共享網站,將照片提供給您站點的訪問者。在某些時候,您發現其他站點鏈接了您站點上的照片,從而給您的業務造成損失。有什麼方法可以有效減輕這種情況?",(A) 為靜態內容使用CloudFront 分佈,(B) 將照片存儲在網頁伺服器的EBS磁碟區上,(C) 阻止安全組中提供網站的IP,"(D) 刪除公共讀取訪問權限,並使用帶有到期日的預先簽章URL",cht,SAA,cht
"有一個工作流,其內容為Amazon EC2執行個體每小時運行一次計劃任務,從Amazon S3存儲桶下載映像,並處理該映像,並移至另一個Amazon S3存儲桶。解決方案架構師應如何重新設計流程,使其高度可用?",(A) 將Amazon EC2 執行個體換成運算最佳化,(B) 啟動第二個Amazon EC2執行個體來監控第一個執行個體的運行狀況,(C) 上傳新物件時觸發Lambda函數,(D) 開始將映像複製到附加的Amazon EBS 磁碟區,cht,SAA,cht
"您有一個Web應用程序,目前運行在六個Amazon EC2執行個體,每個執行個體消耗約45%的資源。現在正使用AutoScaling以確保始終有六個執行個體在運行。為了有效滿足此需求。您應該選擇以下哪種架構選擇?","(A) 在一個可用區中部署3個EC2執行個體,在另一個可用區中部署3個EC2執行個體,並使用Amazon Elastic Load Balancer","(B) 在一個區域和另一個區域中各部署3個EC2執行個體,並使用Amazon Elastic Load Balancer","(C) 在三個區域中各部署2個EC2執行個體,並使用Amazon Elastic Load Balancer","(D) 在一個可用區中部署6個EC2執行個體,並使用Amazon Elastic Load Balancer",cht,SAA,cht
DynamoDB提供了什麼服務?,(A) 可預測和可擴展的MySQL數據庫。,(B) 快速可靠的PL / SQL數據庫集群。,(C) 由Amazon Web Services管理的獨立Cassandra數據庫。,"(D) 一種快速,高度可擴展的託管NoSQL數據庫服務",cht,SAA,cht
"一家公司正在創建一個Web應用程序,該應用程序允許客戶在其Web瀏覽器中查看照片。該網站託管在us-east-1,且為LoadBalancer後方的Amazon EC2執行個體中,其背後的應用程序,用戶遍布世界各地。哪種解決方案應為所有用戶提供最快的照片瀏覽體驗?","(A) 為Application Load Balancer後面的Web服務器執行個體,實作AWS Auto Scaling組","(B) 為網站啟用Amazon CloudFront,並將Application Load Balancer指定為來源。","(C) 將照片移到Amazon S3儲存貯體中,並啟用靜態網站託管。",(D) 在Web服務器子網中啟用Amazon ElastiCache。,cht,SAA,cht
"你的公司計畫要在AWS雲端上,推出一個大型募資網站。 你預期屆時將會有大量且不可預期的流量發生,並且創造出非常多的資料庫寫入動作,為了確保不會遺漏掉任何一筆資料庫寫入動作,應該選用哪一款AWS服務來完成任務?",(A) 佈建達到預期寫入流通量高峰的IOPS的Amazon RDS。,"(B) 用Amazon Simple Queue Service (SQS)捕捉寫入內容加入隊列,並將隊列中內容全部寫入資料庫。","(C) 用Amazon ElastiCache儲存寫入內容,直到將寫入內容提交到數據庫為止。",(D) 將Amazon DynamoDB 佈建的寫入量提升至預期的最高峰值,cht,SAA,cht
解決方案架構師正在AWS上部署新的生產MySQL數據庫。數據庫的高可用性至關重要。架構師應如何使用Amazon RDS實現此目標?,(A) 創建主數據庫的只讀副本並將其部署在不同的AWS區域中,"(B) 啟用multi-AZ,在不同的可用區中創建備用數據庫","(C) 啟用multi-AZ,在不同的AWS區域中創建備用數據庫","(D) 創建主數據庫的只讀副本,並將其部署在不同的可用區中",cht,SAA,cht
