question,optionA,optionB,optionC,optionD,language,category,language2
"Your firm has uploaded a large amount of aerial image data to S3 In the past, in your on premises environment, you used a dedicated group of servers to oaten process this data and used Rabbit MQ - An open source messaging system to get job information to the servers. Once processed the data would go to tape and be shipped offsite. Your manager told you to stay with the current design, and leverage AWS archival storage and messaging services to minimize cost. Which is correct?","(A) Use SQS for passing job messages use Cloud Watch alarms to terminate EC2 worker instances when they become idle. Once data is processed, change the storage class of the S3 objects to Reduced Redundancy Storage.","(B) Setup Auto-Scaled workers triggered by queue depth that use spot instances to process messages in SQS Once data is processed,","(C) Change the storage class of the S3 objects to Reduced Redundancy Storage. Setup Auto-Scaled workers triggered by queue depth that use spot instances to process messages in SQS Once data is processed, change the storage class of the S3 objects to Glacier.","(D) Use SNS to pass job messages use Cloud Watch alarms to terminate spot worker instances when they become idle. Once data is processed, change the storage class of the S3 object to Glacier.",eng,SAA,eng
A Solutions Architect is designing solution with AWS Lambda where different environments require different database passwords. What should the Architect do to accomplish this in a secure and scalable way?,(A) Create a Lambda function for each individual environment.,(B) Use Amazon DynamoDB to store environmental variables.,(C) Use encrypted AWS Lambda environmental variables.,(D) Implement a dedicated Lambda function for distributing variables.,eng,SAA,eng
"A Solutions Architect is designing a microservices-based application using Amazon ECS. The application includes a WebSocket component, and the traffic needs to be distributed between microservices based on the URL. Which service should the Architect choose to distribute me workload?",(A) ELB Classic Load Balancer,(B) Amazon Route 53 DNS,(C) ELB Application Load Balancer,(D) Amazon CloudFront,eng,SAA,eng
"You have 2 Ubuntu instances located in different subnets in the same VP(C) Now to your understanding these instances should be able to communicate with each other, but when you try to ping from one instance to another, you get a timeout. The Route tables seem to be valid and has the entry for the Target ‘local’ for your VPC CIDR. Which of the following could be a valid reason for this issue.","(A) The Instances are of the wrong AMI , hence you are not able to ping the instances.",(B) The Security Group has not been modified for allow the required traffic.,"(C) The Instances don’t have Public IP, so that the ping commands can be routed","(D) The Instances don’t have Elastic IP, so that the ping commands can be routed",eng,SAA,eng
"A benefits enrollment company is hosting a 3-tier web application running in a VPC on AWS which includes a NAT (Network Address Translation) instance in the public Web tier. There is enough provisioned capacity for the expected workload tor the new fiscal year benefit enrollment period plus some extra overhead Enrollment proceeds nicely for two days and then the web tier becomes unresponsive, upon investigation using CloudWatch and other monitoring tools it is discovered that there is an extremely large and unanticipated amount of inbound traffic coming from a set of 15 specific IP addresses over port 80 from a country where the benefits company has no customers. The web tier instances are so overloaded that benefit enrollment administrators cannot even SSH into them. Which activity would be useful in defending against this attack?",(A) Create a custom route table associated with the web tier and block the attacking IP addresses from the IGW (internet Gateway),(B) Change the EIP (Elastic IP Address) of the NAT instance in the web tier subnet and update the Main Route Table with the new EIP,(C) Create 15 Security Group rules to block the attacking IP addresses over port 80,(D) Create an inbound NACL (Network Access control list) associated with the web tier subnet with deny rules to block the attacking IP addresses,eng,SAA,eng
A company is building a two-tier web application to serve dynamic transaction-based content. The data tier is leveraging an online transactional processing (OLTP) database. What services should you leverage to enable an elastic and scalable web tier?,"(A) Elastic Load Balancing, Amazon EC2, and Auto Scaling","(B) Elastic Load Balancing, Amazon RDS with Multi-AZ, and Amazon S3",(C) Amazon RDS with Multi-AZ and Auto Scaling,"(D) Amazon EC2, Amazon DynamoDB, and Amazon S3",eng,SAA,eng
You are running a successful multitier web application on AWS and your marketing department has asked you to add a reporting tier to the application. The reporting tier will aggregate and publish status reports every 30 minutes from user-generated information that is being stored in your web application s database. You are currently running a Multi-AZ RDS MySQL instance for the database tier. You also have implemented Elasticache as a database caching layer between the application tier and database tier. Please select the answer that will allow you to successfully implement the reporting tier with as little impact as possible to your database.,"(A) Continually send transaction logs from your master database to an S3 bucket and generate the
reports off the S3 bucket using S3 byte range requests.","(B) Generate the reports by querying the synchronously replicated standby RDS MySQL instance
maintained through Multi-AZ.","(C) Launch a RDS Read Replica connected to your Multi AZ master database and generate reports
by querying the Read Replica.",(D) Generate the reports by querying the ElastiCache database caching tier.,eng,SAA,eng
"Before I delete an EBS volume, what can I do if I want to recreate the volume later?",(A) Create a copy of the EBS volume (not a snapshot),(B) Store a snapshot of the volume,(C) Download the content to an EC2 instance,(D) Back up the data in to a physical disk,eng,SAA,eng
"A Solutions Architect is designing a mobile application that will capture receipt images to track expenses. The Architect wants to store the images on Amazon S3. However, uploading images through the web server will create too much traffic. What is the MOST efficient method to store images from a mobile application on Amazon S3?",(A) Upload directly to S3 using a pre-signed URL,"(B) Upload to a second bucket, and have a Lambda event copy the image to the primary bucket","(C) Upload to a separate Auto Scaling group of servers behind an ELB Classic Load Balancer, and have them write to the Amazon S3 bucket",(D) Expand the web server fleet with Spot Instances to provide the resources to handle the images,eng,SAA,eng
A customer's security team requires the logging of all network access attempts to Amazon EC2 instances in their production VPC on AWS.Which configuration will meet the security team's requirement?,(A) Enable CloudTrail for the production VPC,(B) Enable both CloudTrail and VPC Flow Logs for the AWS account.,(C) Enable both CloudTrail and VPC Flow Logs for the production VPC,(D) Enable VPC Flow Logs for the production VPC,eng,SAA,eng
Every user you create in the IAM system starts with _________.,(A) Partial permissions,(B) Full permissions,(C) No permissions,(D) Random,eng,SAA,eng
"A web design company currently runs several FTP servers that their 250 customers use to upload and download large graphic files They wish to move this system to AWS to make it more scalable, but they wish to maintain customer privacy and Keep costs to a minimum.
 
What AWS architecture would you recommend?",(A) ASK their customers to use an S3 client instead of an FTP client. Create a single S3 bucket Create an IAM user for each customer Put the IAM Users in a Group that has an IAM policy that permits access to sub-directories within the bucket via use of the 'username' Policy variable.,(B) Create a single S3 bucket with Reduced Redundancy Storage turned on and ask their customers to use an S3 client instead of an FTP client Create a bucket for each customer with a Bucket Policy that permits access only to that one customer.,(C) Create an auto-scaling group of FTP servers with a scaling policy to automatically scalein when minimum network traffic on the auto-scaling group is below a given threshold. Load a central list of ftp users from S3 as part of the user Data startup script on each Instance.,"(D) Create a single S3 bucket with Requester Pays turned on and ask their customers to use an S3 client instead of an FTP client Create a bucket tor each customer with a Bucket
Policy that permits access only to that one customer.",eng,SAA,eng
You have an application running on Amazon Web Services. The application has 4 EC2 instances in Availability Zone us-east-1c. You're using Elastic Load Balancer to load balance traffic across your four instances. What changes would you make to create a fault tolerant architecture?,(A) Create EBS backups to ensure data is not lost.,(B) Move all four instances to a different Availability Zone.,(C) Launch four instances to another Availability Zone.,(D) Use CloudWatch to distribute the load evenly.,eng,SAA,eng
A ___________ is a physical device or software application on Client side of the VPN connection.,(A) Customer gateway,(B) Gateway level,(C) Gateway table,(D) Virtual private gateway,eng,SAA,eng
You are tasked with setting up a Linux bastion host for access to Amazon EC2 instances running in your VP(C) Only clients connecting from the corporate external public IP address 72.34.51.100 should have SSH access to the host. Which option will meet the customer requirement?,"(A) Security Group Inbound Rule: Protocol - TCP. Port Range - 22, Source 72.34.51.100/32","(B) Security Group Inbound Rule: Protocol - UDP, Port Range - 22, Source 72.34.51.100/32","(C) Network ACL Inbound Rule: Protocol - UDP, Port Range - 22, Source 72.34.51.100/32","(D) Network ACL Inbound Rule: Protocol - TCP, Port Range-22, Source 72.34.51.100/0",eng,SAA,eng
You are working with customer who has 10 TB of archival data that they want to migrate to Amazon Glacier.The customer has a 1Mbps connection to the Internet. Which service or feature provide the fastestmethod of getting the data into Amazon Glacier?,(A) Amazon Glacier multipart upload,(B) AWS Storage Gateway,(C) VM Import/Export,(D) AWS Import/Export,eng,SAA,eng
"A Solutions Architect is designing a solution that includes a managed VPN connection. To monitor whether the VPN connection is up or down, the Architect should use:",(A) an external service to ping the VPN endpoint from outside the VP(C),(B) AWS CloudTrail to monitor the endpoint.,(C) the CloudWatch TunnelState Metric.,(D) an AWS Lambda function that parses the VPN connection logs.,eng,SAA,eng
"A manufacturing company captures data from machines running at customer sites. Currently, thousands of machines send data every 5 minutes, and this is expected to grow to hundreds of thousands of machines in the near future. The data is logged with the intent to be analyzed in the future as needed.What is the SIMPLEST method to store this streaming data at scale?",(A) Create an Amazon Kinesis Firehouse delivery stream to store the data in Amazon S3.,(B) Create an Auto Scaling group of Amazon EC2 servers behind ELBs to write the data into Amazon RDS.,"(C) Create an Amazon SQS queue, and have the machines write to the queue.",(D) Create an Amazon EC2 server farm behind an ELB to store the data in Amazon EBS Cold HDD volumes.,eng,SAA,eng
A Solutions Architect needs a storage solution for a fleet of Linux web application servers.The solution should provide file system interface and be able to support millions of files. Which AWS service should the Architect choose?,(A) Amazon S3,(B) Amazon EFS,(C) Amazon EBS,(D) Amazon ElastiCache,eng,SAA,eng
